entry_id,phrase_id,phrase_alt_raw,phrase_alt_norm,phrase_ru,raw_block
6476,1,"кӧдӧни куртту груб. 1) непоседа, озорник","кӧдӧни куртту груб. 1) непоседа, озорник","2) вертопрах, ветреный человек","кöдöни куртту груб. 1) непоседа, озорник; 2) вертопрах, ветреный человек"
6477,1,куруга 1) с пустыми руками (идти в гости),куруга 1) с пустыми руками (идти в гости),"2) на голодный желудок (сдавать кровь, идти на работу); куру тере кожа да кости (букв. пустая кожа, одна кожа); куру кӧстӱ с пустыми, ничего не выражающими глазами; куру колду (келер, барар) с пустыми руками, ничего не имея (приходить, уходить); куру тил пустомеля, болтун; Кудайга ижензе, куру артар (Посл.) На Бога надейся, а сам не плошай (букв. Если надеяться на Бога, останешься ни с чем)","куруга 1) с пустыми руками (идти в гости); 2) на голодный желудок (сдавать кровь, идти на работу); куру тере кожа да кости (букв. пустая кожа, одна кожа); куру кöстӱ с пустыми, ничего не выражающими глазами; куру колду (келер, барар) с пустыми руками, ничего не имея (приходить, уходить); куру тил пустомеля, болтун; Кудайга ижензе, куру артар (Посл.) На Бога надейся, а сам не плошай (букв. Если надеяться на Бога, останешься ни с чем)"
6488,1,курумшы русский (о человеке),курумшы русский (о человеке),,курумшы русский (о человеке)
6505,1,кускузы келер тошнить,кускузы келер тошнить,,кускузы келер тошнить
6509,1,"куды чыгар бояться, душа в пятки уходит","куды чыгар бояться, душа в пятки уходит",кут jок качар убегать без оглядки,"куды чыгар бояться, душа в пятки уходит; кут jок качар убегать без оглядки"
6514,1,куу баш череп,куу баш череп,,куу баш череп
6517,1,ӧчин куур мстить,ӧчин куур мстить,"ӱбин куур требовать наследства; куузы кирер довольствоваться; Штоптыҥ куузы там ла кирип, киреени каҥырада токпоктой берди (Л. Кокышев) Штоп, всё более довольствуясь, звонко застучал по пиле; куузы кайнаар злорадствовать; Ӱредӱчи оны адылза, мениҥ куум кайнап туратан, андый керек деп сананатам (А. Адаров) Когда учительница ругала его, я злорадствовал, думал, что так ему и надо","öчин куур мстить; ӱбин куур требовать наследства; куузы кирер довольствоваться; Штоптыҥ куузы там ла кирип, киреени каҥырада токпоктой берди (Л. Кокышев) Штоп, всё более довольствуясь, звонко засту- чал по пиле; куузы кайнаар злорадствовать; Ӱредӱчи оны адылза, мениҥ куум кай- нап туратан, андый керек деп сананатам (А. Адаров) Когда учительница ругала его, я злорадствовал, думал, что так ему и надо"
6525,1,Карганныҥ куугы тайыс (Погов.) У старого мочевой пузырь неглубокий,карганныҥ куугы тайыс (погов.) у старого мочевой пузырь неглубокий,,Карганныҥ куугы тайыс (Погов.) У старого мочевой пузырь неглубокий
6558,1,"Кӧс тӧ jок, тил де jок, колго алза, куучынчы (Заг.) Нет ни глаз, ни языка, а в руки возьмёшь","кӧс тӧ jок, тил де jок, колго алза, куучынчы (заг.) нет ни глаз, ни языка, а в руки возьмёшь",разговорчивый,"Кöс тö jок, тил де jок, колго алза, куучынчы (Заг.) Нет ни глаз, ни языка, а в руки возьмёшь – разговорчивый"
6572,1,Jӱс кучыйак кӧл карайт (Заг.) Сто птичек смотрят в озеро,jӱс кучыйак кӧл карайт (заг.) сто птичек смотрят в озеро,,Jӱс кучыйак кöл карайт (Заг.) Сто птичек смотрят в озеро
