entry_id,headword_raw,headword_norm,homonym_roman,pos_primary,labels,has_phrases,raw_text,page_start,page_end
69,ААЙЫНЧА,аайынча,,,,0,"ААЙЫНЧА эдип салар керек (К. Телесов) Как бы то ни было, дело нужно сделать нормально",17,17
70,ААЙЫНЧА,аайынча,,,,0,"ААЙЫНЧА послелог по, согласно, в соответствии с чем-л.; кӱнчыгыш аайынча по востоку; улу поэттиҥ айтканы аайынча согласно сказанному великим поэтом; јакылта аайынча в соответствии с заданием",17,17
71,ААКТА-,аакта,,,,0,"ААКТАахать; …Кам бойы корыккан бойынча, jаман ӱниле кыйгырып, аактап берерде, кӧк бука корколо, там тыҥыда маҥтап берген (Из сказки) …Когда шаман, испугашись, крича нехорошим голосом, заахал, сивый бык с перепугу ещё быстрее стал убегать",17,17
72,ААКЫ,аакы,,,,0,"ААКЫ старший брат; дядя (почтительное обращение к старшему родственнику); тойго келигер, аакы приходите на свадьбу, дядя; Аакы бойыныҥ керектӱзин, бескелӱзин база јарт билер (Д. Каинчин)",17,17
73,Старший,старший,,,,0,"Старший брат ясно знает о своей значимости, весомости",17,17
74,ААЛА-,аала,I,,,0,ААЛАI разг. 1) акать; Ондо кем аалайт?,17,17
75,Кто,кто,,,,0,Кто там акает?; 2) переспрашивать (произносить вопрошающее «а?»); Не улам ла аалап туруҥ! Что ты всё время переспрашиваешь!,17,17
76,ААЛА-ООЛО-,аалаооло,,,,0,ААЛА-ООЛОразг. акать; Jаҥыс ла айландыра тайгалар араай аалап-оолоп jадыры (К. Телесов) И только вокруг тайга тихо акает,17,17
77,ААЛАШ-,аалаш,I,,,0,"ААЛАШI разг. 1) взаимн.-совм. от аала-; олор байа бойынча аалашты они всё это время акали; аалашпай, јууктада отурыгар не переспрашивая, садитесь поближе; 2) перекликаться, кричать «а-а!»; балдар агаш аразында аалашкылады дети перекликались в лесу",17,17
78,ААЛГА,аалга,,,,0,"ААЛГА 1. 1) укромный, уединённый; аалга кобы укромная ложбина; аалга jер уединённое место; 2) перен. скрытый, скрытный, тайный; аалга санаалар тайные мысли; аалга кӱӱндер тайные желания; Оныҥ jӱзинде алаҥзуныҥ кандый да аалга кӧлӧткӧзи элбес эдип калды (Б. Укачин)",17,17
79,На,на,,,,0,На её лице промелькнула какая-то скрытая,17,17
80,-,-,,,,0,"- 18 - тень сомнения; 2. 1) укромное, уединённое место; …Э-ээй, ӧгӧӧндӧр, Алтайдыҥ аалгалары кӧп, агаш-тажы кара jыш... (К. Телесов) …Э-ээй, мужики, уединённых мест Алтая много, леса и горы дремучие…; 2) перен. тайна, завеса; келер ӧйдиҥ аалгазын ачарга умзанар пытаться открыть тайну будущего",17,17
81,ААЛГАЛАН-,аалгалан,,,,0,"ААЛГАЛАНуединяться, обособляться;",17,17
82,Кӧп,кӧп,,,,0,"Кӧп унчукпас, улустаҥ чала аалгаланып jӱрер кижи (Д. Каинчин) Немногословный, немного обособляющийся от людей человек",17,17
83,ААМАЙ,аамай,,,,1,"ААМАЙ 1. глупый; аамай кижи глупый человек; 2. глупец, дурак; Сен аамай ба? Ты дурак что ли?; ср. тенек, соксоо; ♦ Аамайдыҥ сӧзи кезем (Посл.) Речь глупца резка",17,17
84,ААМАЙЗЫ-,аамайзы,,,,0,"ААМАЙЗЫглупить, придуриваться; ср. тенекси-, јӱӱлгекси-; Болор, аамайзыба! Хватит, не глупи!; Айгӱн шымыранды: «Аамайзып турган немеҥ не!» (С. Манитов)",17,17
85,Айгюн,айгюн,,,,0,Айгюн прошептал: «Что ты придуриваешься!»,17,17
86,ААМАЙ-СОКСОО,аамайсоксоо,,,,0,ААМАЙ-СОКСОО см. аамай,17,17
